framework_id,code,grade,critical_principle,cluster,proficiency_level,content_strand,text,source_url,page
CA-ELD-2012,ELD.PI.K.1.Br,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Bridging,Exchanging information and ideas,"Contribute to class, group, and partner discussions by listening attentively, following turn-taking rules, and asking and answering questions.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.1.Em,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Emerging,Exchanging information and ideas,"Contribute to conversations and express ideas by asking and answering yes-no and wh- questions and responding using gestures, words, and simple phrases",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.1.Ex,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Expanding,Exchanging information and ideas,"Contribute to class, group, and partner discussions by listening attentively, following turn-taking rules, and asking and answering questions.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.10.Br,0,Part I: Interacting in Meaningful Ways,C. Productive,Bridging,Composing/Writing,"Draw, dictate, and write to compose longer literary texts (e.g., story) and informational texts (e.g., an information report on dogs), collaboratively with an adult (e.g., joint construction of texts), with peers, and independently using appropriate text organization.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.10.Em,0,Part I: Interacting in Meaningful Ways,C. Productive,Emerging,Composing/Writing,"Draw, dictate, and write to compose very short literary texts (e.g., story) and informational texts (e.g., a description of a dog), using familiar vocabulary collaboratively in shared language activities with an adult (e.g., joint construction of texts), with peers, and sometimes independently.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.10.Ex,0,Part I: Interacting in Meaningful Ways,C. Productive,Expanding,Composing/Writing,"Draw, dictate, and write to compose short literary texts (e.g., story) and informational texts (e.g., a description of dogs), collaboratively with an adult (e.g., joint construction of texts), with peers, and with increasing independence.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.11.Br,0,Part I: Interacting in Meaningful Ways,C. Productive,Bridging,Supporting opinions,"Supporting opinions Offer opinions and provide good reasons with detailed textual evidence or relevant background knowledge (e.g., specific examples from text or knowledge of content).",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.11.Em,0,Part I: Interacting in Meaningful Ways,C. Productive,Emerging,Supporting opinions,"Offer opinions and provide good reasons (e.g., My favorite book is X because X.) referring to the text or to relevant background knowledge.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.11.Ex,0,Part I: Interacting in Meaningful Ways,C. Productive,Expanding,Supporting opinions,"Offer opinions and provide good reasons and some textual evidence or relevant background knowledge (e.g., paraphrased examples from text or knowledge of content).",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.12a.Br,0,Part I: Interacting in Meaningful Ways,C. Productive,Bridging,Selecting language resources,Retell texts and recount experiences using increasingly detailed complete sentences and key words.,https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.12a.Em,0,Part I: Interacting in Meaningful Ways,C. Productive,Emerging,Selecting language resources,Retell texts and recount experiences using a select set of key words.,https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.12a.Ex,0,Part I: Interacting in Meaningful Ways,C. Productive,Expanding,Selecting language resources,Retell texts and recount experiences using complete sentences and key words.,https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.12b.Br,0,Part I: Interacting in Meaningful Ways,C. Productive,Bridging,Selecting language resources,"Use a wide variety of general academic and domain-specific words, synonyms, antonyms, and language to create an effect (e.g., using the word suddenly to signal a change) or to create shades of meaning (e.g., The cat’s fur was as white as snow) while speaking and composing.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.12b.Em,0,Part I: Interacting in Meaningful Ways,C. Productive,Emerging,Selecting language resources,"Use a select number of general academic and domain-specific words to add detail (e.g., adding the word spicy to describe a favorite food, using the word larva when explaining insect metamorphosis) while speaking and composing.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.12b.Ex,0,Part I: Interacting in Meaningful Ways,C. Productive,Expanding,Selecting language resources,"Use a growing number of general academic and domain-specific words in order to add detail or to create shades of meaning (e.g., using the word scurry versus run) while speaking and composing.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.2.Br,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Bridging,Interacting via written English,"Collaborate with the teacher and peers on joint composing projects of informational and literary texts that include a greater amount of writing (e.g., a very short story), using technology, where appropriate, for publishing, graphics, and the like.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.2.Em,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Emerging,Interacting via written English,"Collaborate with the teacher and peers on joint composing projects of short informational and literary texts that include minimal writing (labeling with a few words), using technology, where appropriate, for publishing, graphics, and the like.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.2.Ex,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Expanding,Interacting via written English,"Collaborate with the teacher and peers on joint composing projects of informational and literary texts that include some writing (e.g., short sentences), using technology, where appropriate, for publishing, graphics, and the like.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.3.Br,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Bridging,Offering opinions,"Offer opinions in conversations using an expanded set of learned phrases (e.g., I think/don’t think X. I agree with X, but . . .), as well as open responses, in order to gain and/or hold the floor or add information to an idea.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.3.Em,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Emerging,Offering opinions,"Offer opinions and ideas in conversations using a small set of learned phrases (e.g., I think X), as well as open responses.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.3.Ex,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Expanding,Offering opinions,"Offer opinions in conversations using an expanded set of learned phrases (e.g., I think/don’t think X. I agree with X), as well as open responses, in order to gain and/or hold the floor.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.4.Br,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Bridging,Adapting language choices,No standard for kindergarten.,https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.4.Em,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Emerging,Adapting language choices,No standard for kindergarten.,https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.4.Ex,0,Part I: Interacting in Meaningful Ways,A. Collaborative,Expanding,Adapting language choices,No standard for kindergarten.,https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.5.Br,0,Part I: Interacting in Meaningful Ways,B. Interpretive,Bridging,Listening actively,"Demonstrate active listening to read-alouds and oral presentations by asking and answering detailed questions, with minimal prompting and light support.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.5.Em,0,Part I: Interacting in Meaningful Ways,B. Interpretive,Emerging,Listening actively,Demonstrate active listening to read-alouds and oral presentations by asking and answering yes-no and wh- questions with oral sentence frames and substantial prompting and support.,https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.5.Ex,0,Part I: Interacting in Meaningful Ways,B. Interpretive,Expanding,Listening actively,Demonstrate active listening to read-alouds and oral presentations by asking and answering questions with oral sentence frames and occasional prompting and support.,https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.6.Br,0,Part I: Interacting in Meaningful Ways,B. Interpretive,Bridging,Reading/viewing closely,"Describe ideas, phenomena (e.g., insect metamorphosis), and text elements (e.g., major events, characters, setting) using key details based on understanding of a variety of grade-level texts and viewing of multimedia, with light support.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.6.Em,0,Part I: Interacting in Meaningful Ways,B. Interpretive,Emerging,Reading/viewing closely,"Describe ideas, phenomena (e.g., parts of a plant), and text elements (e.g., characters) based on understanding of a select set of grade-level texts and viewing of multimedia, with substantial support.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.6.Ex,0,Part I: Interacting in Meaningful Ways,B. Interpretive,Expanding,Reading/viewing closely,"Describe ideas, phenomena (e.g., how butterflies eat), and text elements (e.g., setting, characters) in greater detail based on understanding of a variety of grade-level texts and viewing of multimedia, with moderate support.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.7.Br,0,Part I: Interacting in Meaningful Ways,B. Interpretive,Bridging,Evaluating language choices,"Describe the language an author uses to present or support an idea (e.g., the vocabulary used to describe people and places), with prompting and light support.",https://www2.cde.ca.gov/cacs/eld,
CA-ELD-2012,ELD.PI.K.7.Em,0,Part I: Interacting in Meaningful Ways,B. Interpretive,Emerging,Evaluating language choices,"Describe the language an author uses to present an idea (e.g., the words and phrases used when a character is introduced), with prompting and substantial support.",https://www2.cde.ca.gov/cacs/eld,
