framework_id,code,grade,course,overarching_standard_code,overarching_standard,text,source_url,page,raw_text
CA-HSS-2016,HSS-K.1,0,"Learning and Working Now and Long Ago, Grade K",,,Students understand that being a good citizen involves acting in certain ways.,https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.1
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Standard:
Students understand that being a good citizen involves acting in certain ways.
"
CA-HSS-2016,HSS-K.1.1,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.1,HSS-K.1 Students understand that being a good citizen involves acting in certain ways.,"Follow rules, such as sharing and taking turns, and know the consequences of breaking them.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.1.1
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.1 Students understand that being a good citizen involves acting in certain ways.

Standard:
Follow rules, such as sharing and taking turns, and know the consequences of breaking them.
"
CA-HSS-2016,HSS-K.1.2,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.1,HSS-K.1 Students understand that being a good citizen involves acting in certain ways.,"Learn examples of honesty, courage, determination, individual responsibility, and patriotism in American and world history from stories and folklore.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.1.2
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.1 Students understand that being a good citizen involves acting in certain ways.

Standard:
Learn examples of honesty, courage, determination, individual responsibility, and patriotism in American and world history from stories and folklore.
"
CA-HSS-2016,HSS-K.1.3,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.1,HSS-K.1 Students understand that being a good citizen involves acting in certain ways.,Know beliefs and related behaviors of characters in stories from times past and understand the consequences of the characters’ actions.,https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.1.3
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.1 Students understand that being a good citizen involves acting in certain ways.

Standard:
Know beliefs and related behaviors of characters in stories from times past and understand the consequences of the characters’ actions.
"
CA-HSS-2016,HSS-K.2,0,"Learning and Working Now and Long Ago, Grade K",,,"Students recognize national and state symbols and icons such as the national and state flags, the bald eagle, and the Statue of Liberty.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.2
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Standard:
Students recognize national and state symbols and icons such as the national and state flags, the bald eagle, and the Statue of Liberty.
"
CA-HSS-2016,HSS-K.3,0,"Learning and Working Now and Long Ago, Grade K",,,"Students match simple descriptions of work that people do and the names of related jobs at the school, in the local community, and from historical accounts.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.3
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Standard:
Students match simple descriptions of work that people do and the names of related jobs at the school, in the local community, and from historical accounts.
"
CA-HSS-2016,HSS-K.4,0,"Learning and Working Now and Long Ago, Grade K",,,"Students compare and contrast the locations of people, places, and environments and describe their characteristics.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.4
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Standard:
Students compare and contrast the locations of people, places, and environments and describe their characteristics.
"
CA-HSS-2016,HSS-K.4.1,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.4,"HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.","Determine the relative locations of objects using the terms near/far, left/right, and behind/in front.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.4.1
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.

Standard:
Determine the relative locations of objects using the terms near/far, left/right, and behind/in front.
"
CA-HSS-2016,HSS-K.4.2,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.4,"HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.",Distinguish between land and water on maps and globes and locate general areas referenced in historical legends and stories.,https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.4.2
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.

Standard:
Distinguish between land and water on maps and globes and locate general areas referenced in historical legends and stories.
"
CA-HSS-2016,HSS-K.4.3,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.4,"HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.","Identify traffic symbols and map symbols (e.g., those for land, water, roads, cities).",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.4.3
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.

Standard:
Identify traffic symbols and map symbols (e.g., those for land, water, roads, cities).
"
CA-HSS-2016,HSS-K.4.4,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.4,"HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.","Construct maps and models of neighborhoods, incorporating such structures as police and fire stations, airports, banks, hospitals, supermarkets, harbors, schools, homes, places of worship, and transportation lines.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.4.4
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.

Standard:
Construct maps and models of neighborhoods, incorporating such structures as police and fire stations, airports, banks, hospitals, supermarkets, harbors, schools, homes, places of worship, and transportation lines.
"
CA-HSS-2016,HSS-K.4.5,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.4,"HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.","Demonstrate familiarity with the school’s layout, environs, and the jobs people do there.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.4.5
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.4 Students compare and contrast the locations of people, places, and environments and describe their characteristics.

Standard:
Demonstrate familiarity with the school’s layout, environs, and the jobs people do there.
"
CA-HSS-2016,HSS-K.5,0,"Learning and Working Now and Long Ago, Grade K",,,"Students put events in temporal order using a calendar, placing days, weeks, and months in proper order.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.5
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Standard:
Students put events in temporal order using a calendar, placing days, weeks, and months in proper order.
"
CA-HSS-2016,HSS-K.6,0,"Learning and Working Now and Long Ago, Grade K",,,"Students understand that history relates to events, people, and places of other times.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.6
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Standard:
Students understand that history relates to events, people, and places of other times.
"
CA-HSS-2016,HSS-K.6.1,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.6,"HSS-K.6 Students understand that history relates to events, people, and places of other times.","Identify the purposes of, and the people and events honored in, commemorative holidays, including the human struggles that were the basis for the events (e.g., Thanksgiving, Independence Day, Washington’s and Lincoln’s Birthdays, Martin Luther King Jr. Day, Memorial Day, Labor Day, Columbus Day, Veterans Day).",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.6.1
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.6 Students understand that history relates to events, people, and places of other times.

Standard:
Identify the purposes of, and the people and events honored in, commemorative holidays, including the human struggles that were the basis for the events (e.g., Thanksgiving, Independence Day, Washington’s and Lincoln’s Birthdays, Martin Luther King Jr. Day, Memorial Day, Labor Day, Columbus Day, Veterans Day).
"
CA-HSS-2016,HSS-K.6.2,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.6,"HSS-K.6 Students understand that history relates to events, people, and places of other times.","Know the triumphs in American legends and historical accounts through the stories of such people as Pocahontas, George Washington, Booker T. Washington, Daniel Boone, and Benjamin Franklin.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.6.2
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.6 Students understand that history relates to events, people, and places of other times.

Standard:
Know the triumphs in American legends and historical accounts through the stories of such people as Pocahontas, George Washington, Booker T. Washington, Daniel Boone, and Benjamin Franklin.
"
CA-HSS-2016,HSS-K.6.3,0,"Learning and Working Now and Long Ago, Grade K",HSS-K.6,"HSS-K.6 Students understand that history relates to events, people, and places of other times.","Understand how people lived in earlier times and how their lives would be different today (e.g., getting water from a well, growing food, making clothing, having fun, forming organizations, living by rules and laws).",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-K.6.3
Grade: K
Course: Learning and Working Now and Long Ago, Grade K

Overarching Standard:
HSS-K.6 Students understand that history relates to events, people, and places of other times.

Standard:
Understand how people lived in earlier times and how their lives would be different today (e.g., getting water from a well, growing food, making clothing, having fun, forming organizations, living by rules and laws).
"
CA-HSS-2016,HSS-1.1,1,"A Child’s Place in Time and Space, Grade 1",,,Students describe the rights and individual responsibilities of citizenship.,https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-1.1
Grade: 1
Course: A Child’s Place in Time and Space, Grade 1

Standard:
Students describe the rights and individual responsibilities of citizenship.
"
CA-HSS-2016,HSS-1.1.1,1,"A Child’s Place in Time and Space, Grade 1",HSS-1.1,HSS-1.1 Students describe the rights and individual responsibilities of citizenship.,"Understand the rule-making process in a direct democracy (everyone votes on the rules) and in a representative democracy (an elected group of people make the rules), giving examples of both systems in their classroom, school, and community.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-1.1.1
Grade: 1
Course: A Child’s Place in Time and Space, Grade 1

Overarching Standard:
HSS-1.1 Students describe the rights and individual responsibilities of citizenship.

Standard:
Understand the rule-making process in a direct democracy (everyone votes on the rules) and in a representative democracy (an elected group of people make the rules), giving examples of both systems in their classroom, school, and community.
"
CA-HSS-2016,HSS-1.1.2,1,"A Child’s Place in Time and Space, Grade 1",HSS-1.1,HSS-1.1 Students describe the rights and individual responsibilities of citizenship.,"Understand the elements of fair play and good sportsmanship, respect for the rights and opinions of others, and respect for rules by which we live, including the meaning of the “Golden Rule.”",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-1.1.2
Grade: 1
Course: A Child’s Place in Time and Space, Grade 1

Overarching Standard:
HSS-1.1 Students describe the rights and individual responsibilities of citizenship.

Standard:
Understand the elements of fair play and good sportsmanship, respect for the rights and opinions of others, and respect for rules by which we live, including the meaning of the “Golden Rule.”
"
CA-HSS-2016,HSS-1.2,1,"A Child’s Place in Time and Space, Grade 1",,,Students compare and contrast the absolute and relative locations of places and people and describe the physical and/or human characteristics of places.,https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-1.2
Grade: 1
Course: A Child’s Place in Time and Space, Grade 1

Standard:
Students compare and contrast the absolute and relative locations of places and people and describe the physical and/or human characteristics of places.
"
CA-HSS-2016,HSS-1.2.1,1,"A Child’s Place in Time and Space, Grade 1",HSS-1.2,HSS-1.2 Students compare and contrast the absolute and relative locations of places and people and describe the physical and/or human characteristics of places.,"Locate on maps and globes their local community, California, the United States, the seven continents, and the four oceans.",https://www2.cde.ca.gov/cacs/history,,"Standard Identifier: HSS-1.2.1
Grade: 1
Course: A Child’s Place in Time and Space, Grade 1

Overarching Standard:
HSS-1.2 Students compare and contrast the absolute and relative locations of places and people and describe the physical and/or human characteristics of places.

Standard:
Locate on maps and globes their local community, California, the United States, the seven continents, and the four oceans.
"
