from_framework,from_code,to_framework,to_code,relation
CA-CCSSM-2013,3.NF.A.1,CA-CCSSM-2013,4.NF.A.1,prerequisite
CA-CCSSM-2013,4.NF.A.1,CA-CCSSM-2013,5.NF.A.1,prerequisite
CA-CCSSM-2013,3.NF.A.1,CA-CCSSM-2013,5.NF.A.1,prerequisite
CA-CCSSM-2013,K.CC.1,CA-CCSSM-2013,K.CC.2,prerequisite
CA-CCSSM-2013,K.CC.2,CA-CCSSM-2013,K.CC.3,prerequisite
CA-CCSSM-2013,K.CC.3,CA-CCSSM-2013,K.CC.4.a,prerequisite
CA-CCSSM-2013,K.CC.4.a,CA-CCSSM-2013,K.CC.4.b,prerequisite
CA-CCSSM-2013,K.CC.4.b,CA-CCSSM-2013,K.CC.4.c,prerequisite
CA-CCSSM-2013,K.CC.4.c,CA-CCSSM-2013,K.CC.5,prerequisite
CA-CCSSM-2013,K.CC.5,CA-CCSSM-2013,K.CC.6,prerequisite
CA-CCSSM-2013,K.CC.6,CA-CCSSM-2013,K.CC.7,prerequisite
CA-CCSSM-2013,K.CC.7,CA-CCSSM-2013,K.G.1,prerequisite
CA-CCSSM-2013,K.G.1,CA-CCSSM-2013,K.G.2,prerequisite
CA-CCSSM-2013,K.G.2,CA-CCSSM-2013,K.G.3,prerequisite
CA-CCSSM-2013,K.G.3,CA-CCSSM-2013,K.G.4,prerequisite
CA-CCSSM-2013,K.G.4,CA-CCSSM-2013,K.G.5,prerequisite
CA-CCSSM-2013,K.G.5,CA-CCSSM-2013,K.G.6,prerequisite
CA-CCSSM-2013,K.G.6,CA-CCSSM-2013,K.MD.1,prerequisite
CA-CCSSM-2013,K.MD.1,CA-CCSSM-2013,K.MD.2,prerequisite
CA-CCSSM-2013,K.MD.2,CA-CCSSM-2013,K.MD.3,prerequisite
CA-CCSSM-2013,K.MD.3,CA-CCSSM-2013,K.NBT.1,prerequisite
CA-CCSSM-2013,K.NBT.1,CA-CCSSM-2013,K.OA.1,prerequisite
CA-CCSSM-2013,K.OA.1,CA-CCSSM-2013,K.OA.2,prerequisite
CA-CCSSM-2013,K.OA.2,CA-CCSSM-2013,K.OA.3,prerequisite
CA-CCSSM-2013,K.OA.3,CA-CCSSM-2013,K.OA.4,prerequisite
CA-CCSSM-2013,K.OA.4,CA-CCSSM-2013,K.OA.5,prerequisite
CA-CCSSM-2013,K.OA.5,CA-CCSSM-2013,1.G.1,prerequisite
CA-CCSSM-2013,1.G.1,CA-CCSSM-2013,1.G.2,prerequisite
CA-CCSSM-2013,1.G.2,CA-CCSSM-2013,1.G.3,prerequisite
CA-CCSSM-2013,1.G.3,CA-CCSSM-2013,1.MD.1,prerequisite
CA-CCSSM-2013,1.MD.1,CA-CCSSM-2013,1.MD.2,prerequisite
CA-CCSSM-2013,1.MD.2,CA-CCSSM-2013,1.MD.3,prerequisite
CA-CCSSM-2013,1.MD.3,CA-CCSSM-2013,1.MD.4,prerequisite
CA-CCSSM-2013,1.MD.4,CA-CCSSM-2013,1.NBT.1,prerequisite
CA-CCSSM-2013,1.NBT.1,CA-CCSSM-2013,1.NBT.2.a,prerequisite
CA-CCSSM-2013,1.NBT.2.a,CA-CCSSM-2013,1.NBT.2.b,prerequisite
CA-CCSSM-2013,1.NBT.2.b,CA-CCSSM-2013,1.NBT.2.c,prerequisite
CA-CCSSM-2013,1.NBT.2.c,CA-CCSSM-2013,1.NBT.3,prerequisite
CA-CCSSM-2013,1.NBT.3,CA-CCSSM-2013,1.NBT.4,prerequisite
CA-CCSSM-2013,1.NBT.4,CA-CCSSM-2013,1.NBT.5,prerequisite
CA-CCSSM-2013,1.NBT.5,CA-CCSSM-2013,1.NBT.6,prerequisite
CA-CCSSM-2013,1.NBT.6,CA-CCSSM-2013,1.OA.1,prerequisite
CA-CCSSM-2013,1.OA.1,CA-CCSSM-2013,1.OA.2,prerequisite
CA-CCSSM-2013,1.OA.2,CA-CCSSM-2013,1.OA.3,prerequisite
CA-CCSSM-2013,1.OA.3,CA-CCSSM-2013,1.OA.4,prerequisite
CA-CCSSM-2013,1.OA.4,CA-CCSSM-2013,1.OA.5,prerequisite
CA-CCSSM-2013,1.OA.5,CA-CCSSM-2013,1.OA.6,prerequisite
CA-CCSSM-2013,1.OA.6,CA-CCSSM-2013,1.OA.7,prerequisite
CA-CCSSM-2013,1.OA.7,CA-CCSSM-2013,1.OA.8,prerequisite
CA-CCSSM-2013,1.OA.8,CA-CCSSM-2013,2.G.1,prerequisite
CA-CCSSM-2013,2.G.1,CA-CCSSM-2013,2.G.2,prerequisite
CA-CCSSM-2013,2.G.2,CA-CCSSM-2013,2.G.3,prerequisite
